model,RMSE,LOG_SCORE,CRPS,state,step
arima,85.60876940128784,-5.117824213284292,32.239857101199185,AL,3
gp,217.65092088899195,-12.09372584182682,89.8436667268845,AL,3
lstm,368.6355042917554,-14.494314252228623,130.3967142271376,AL,3
ensemble,304.29501414786614,-9.650679147142254,110.15282633441434,AL,3
arima,521.2903942424275,-7.744985700378754,317.9943605716947,BA,3
gp,590.7069831825781,-10.962012718191513,370.9502878495287,BA,3
lstm,943.2182467578474,-14.109180973049371,513.1140161169162,BA,3
ensemble,711.4734837855319,-8.81890775772008,398.58994737659947,BA,3
arima,86.6065338939246,-6.054068065440744,45.63550305015308,CE,3
gp,75.5546695934713,-6.935564024436789,44.51657665964329,CE,3
lstm,84.4843666704855,-14.20805994527296,61.066258715773515,CE,3
ensemble,82.67129700619346,-6.144549805057671,46.55454331116175,CE,3
arima,150.7999451481451,-7.28799625241507,95.40446319996026,MA,3
gp,131.69404933165754,-7.842509856821575,85.1257377831321,MA,3
lstm,127.98769543364425,-25.49494232124388,89.65210421966252,MA,3
ensemble,131.04853398150252,-12.83823297784249,87.00617447752208,MA,3
arima,140.18367908316978,-6.237624777086625,80.46882553313786,PB,3
gp,216.46889340742578,-11.925884206436704,141.07726804490503,PB,3
lstm,218.29920363814426,-28.261883286797172,148.84914578267293,PB,3
ensemble,213.40230374004815,-22.83248513662876,140.4563930887402,PB,3
arima,248.65659125005698,-7.054146907385984,135.27280916366539,PE,3
gp,217.2245005374634,-7.410107321462139,131.81572057997013,PE,3
lstm,224.27612726040002,-22.168296783981514,158.07315125947557,PE,3
ensemble,228.55091630152836,-11.016119939179735,142.00221526316912,PE,3
arima,110.25164771112799,-6.475104838973753,77.8717310390497,PI,3
gp,186.43699081253268,-8.0254763446838,112.49821823502914,PI,3
lstm,159.15200447341599,-9.840862183765374,88.8187630102854,PI,3
ensemble,172.80331539436466,-8.435061320840141,103.48519451635849,PI,3
arima,23.502255159596785,-4.1555566516318345,11.067482088617423,SE,3
gp,21.69569606886751,-4.169521175673116,11.22900979462437,SE,3
lstm,22.877047707063593,-40.42812463542377,15.60675768587845,SE,3
ensemble,23.09342082366189,-8.054950314829336,12.489471221365791,SE,3
arima,85.36802402741625,-6.011121330530391,45.559157873312536,RN,3
gp,64.95544448066488,-5.447363571703925,34.39343579621641,RN,3
lstm,76.0587160723453,-10.749196079139805,49.45601334486911,RN,3
ensemble,76.66054921094498,-7.4313591426725365,45.10155524907647,RN,3
arima,8305.917767104898,-11.417078067948752,9615.339560157421,SP,3
gp,9164.980804120441,-13.99905742739058,5431.33031088368,SP,3
lstm,13053.54482241051,-13.476663254492955,8059.712850577977,SP,3
ensemble,11859.252694940198,-14.31025589047914,7317.900609822708,SP,3
arima,2213.6186950052797,-10.052014379858573,2085.1585605681844,MG,3
gp,3274.0539632914624,-11.380166766930962,2131.7397424193346,MG,3
lstm,3900.5013434245643,-10.246168537375308,2334.4638205955634,MG,3
ensemble,2960.88806888395,-10.62070208164307,1794.3655411766706,MG,3
arima,1387.283090504431,-8.464454658202806,821.3205641085299,RJ,3
gp,1566.4173354726693,-20.123618424508,1037.855464435556,RJ,3
lstm,1765.6478407860857,-11.58590817642209,1170.0986291452953,RJ,3
ensemble,1689.0603536279311,-16.66958085784491,1136.7433066740382,RJ,3
arima,880.065651078876,-10.55841003873441,636.1329283893157,ES,3
gp,981.5275091867752,-9.667136182639553,3764745648.937984,ES,3
lstm,2488.318655076048,-37.88039542883368,1063.5325112973453,ES,3
ensemble,895.2731307240796,-20.351921165552668,970.3708509631845,ES,3
arima,84.3616091894697,-6.260076162815248,54.17716670263477,AM,3
gp,79.41795105189178,-7.813828942313938,56.99476928510662,AM,3
lstm,115.93224278686353,-14.037437705549488,64.19219443236382,AM,3
ensemble,105.05596922673739,-6.5629632161041185,51.32120206440975,AM,3
arima,102.1527458583295,-6.1388314038062655,65.35921387400786,AP,3
gp,94.48841762549577,-8.16148651126719,65.80448989483574,AP,3
lstm,75.74977115099321,-17.655589813065756,57.37500852163165,AP,3
ensemble,81.77500092262933,-11.832303066325144,58.75607684682311,AP,3
arima,109.26368526370119,-6.702775209068036,64.43880229048844,TO,3
gp,97.47372470532332,-10.250035480591512,66.38561579895672,TO,3
lstm,107.3605199589226,-41.58769973546857,73.029674678125,TO,3
ensemble,108.9191509227439,-29.351688393928644,74.24739204370302,TO,3
